PREDICTED_CLUSTER,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
0,0.13192130414455064,0.9865118623188407,0.09018258999380721,0.07340916906997755,0.06356737520128823,0.03143877635962933,0.980253652173913,0.8011358405797102,0.866206586956522,0.09937887439613524,0.03864734299516909,0.17231398267346776,0.2620188236432701,0.09429603333718599,0.012813423584476211,0.24222029710144927,0.9770531400966185
1,0.11996635691000458,0.972439610759493,0.004783325285883897,0.004771397661047993,0.0017815147679324885,0.034006197947164606,0.11153142563291148,0.06460246993670896,0.04718067405063292,0.14438529324894486,0.04403365236183988,0.005984371685170801,0.1400673062699439,0.031217217359678417,0.014985939041602942,0.023055920886075925,0.9815400843881855
2,0.007018706588635202,0.905038833333333,0.021450539596803927,0.00568041834784145,0.036472105820105814,0.001802795010601687,0.8623645714285714,0.07375281746031745,0.8060497380952386,0.004850084656084656,0.0013550135501355014,0.04710916023765193,0.12330073932745049,0.025563257251972712,0.0025776202107232827,0.8012999126984127,0.8796296296296297
3,0.06798220905248709,0.9596948811188809,0.03386253582166799,0.03647545070465124,0.007725299145299147,0.01218334817076861,0.7872819020979023,0.7393904265734264,0.13673448951048953,0.059779599067599096,0.017681505486383534,0.057916943391803775,0.18770848213852917,0.03840508088708716,0.007547291906030777,0.22382743356643356,0.9801864801864804
4,0.008508156729766804,0.3743122135922331,0.007672837871598643,0.0071423417264934,0.0037840841423948234,0.00971636647640192,0.19030098543689322,0.08347057281553391,0.10449395631067959,0.028426634304207138,0.0074196858473439126,0.009790096002603468,0.1318432554796828,0.025257161012368877,0.0035361406400711967,0.2501265970873788,0.9700647249190939
5,0.07918682864583583,0.9381088913580244,0.021857338250229424,0.007133436841832272,0.03479283292181072,0.014619173475988128,0.8632979580246912,0.10387130617283952,0.810627745679012,0.06762365761316876,0.020295091839807284,0.06234223049865505,0.13280570498155336,0.029128033711938905,0.014052578189320522,0.058069367901234535,0.9563786008230448
6,0.06842746068577407,0.7705577777777781,0.005238277382333702,0.004635630018070448,0.003019057613168724,0.04347947704168104,0.18759186111111117,0.07591121296296297,0.10106187962962966,0.1825886543209877,0.044414333032219214,0.006078005379681357,0.1065664997217585,0.019250286513585787,0.005591943112345218,0.07696207407407409,0.20679012345679004
